fold,model_path,AUC,Accuracy,F1,TP,FP,AMS
1,../models/folds/model_fold_1.pkl,0.7455409527587127,0.67941400304414,0.63425222487519,1461,878,0.0
2,../models/folds/model_fold_2.pkl,0.7451276298610079,0.681316590563166,0.6433893974877581,1511,918,0.0
3,../models/folds/model_fold_3.pkl,0.7487578448408712,0.6782112274024739,0.6442247001893541,1531,954,0.0
4,../models/folds/model_fold_4.pkl,0.7412339125038601,0.6782112274024739,0.6409004034826927,1509,932,0.0
5,../models/folds/model_fold_5.pkl,0.7402362028519823,0.6747859181731685,0.6372320101889195,1501,942,0.0
